organisationunitid,organisationunitname,organisationunitcode,periodid,periodname,periodcode,Confirmed Mpox Cases,Mpox Deaths,Notified Mpox Cases
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W6,Week 6 2024-02-05 - 2024-02-11,2024W6,63,49,521
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W7,Week 7 2024-02-12 - 2024-02-18,2024W7,57,37,547
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W8,Week 8 2024-02-19 - 2024-02-25,2024W8,45,41,608
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W9,Week 9 2024-02-26 - 2024-03-03,2024W9,83,14,376
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W10,Week 10 2024-03-04 - 2024-03-10,2024W10,73,9,381
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W11,Week 11 2024-03-11 - 2024-03-17,2024W11,76,12,300
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W12,Week 12 2024-03-18 - 2024-03-24,2024W12,75,12,287
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W13,Week 13 2024-03-25 - 2024-03-31,2024W13,72,5,282
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W14,Week 14 2024-04-01 - 2024-04-07,2024W14,83,9,302
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W15,Week 15 2024-04-08 - 2024-04-14,2024W15,116,4,269
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W16,Week 16 2024-04-15 - 2024-04-21,2024W16,167,7,245
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W17,Week 17 2024-04-22 - 2024-04-28,2024W17,177,5,262
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W18,Week 18 2024-04-29 - 2024-05-05,2024W18,242,12,440
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W19,Week 19 2024-05-06 - 2024-05-12,2024W19,202,16,522
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W20,Week 20 2024-05-13 - 2024-05-19,2024W20,229,7,453
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W21,Week 21 2024-05-20 - 2024-05-26,2024W21,203,13,444
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W22,Week 22 2024-05-27 - 2024-06-02,2024W22,245,12,420
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W23,Week 23 2024-06-03 - 2024-06-09,2024W23,345,11,500
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W24,Week 24 2024-06-10 - 2024-06-16,2024W24,354,11,473
OJTDPwIKb7w,Democratic Republic of the Congo,COUNTRY_COD,2024W25,Week 25 2024-06-17 - 2024-06-23,2024W25,328,7,516
